               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.16133,           0.0093786,             0.03695,          0.00045619,            0.037378,          0.00039162,          7.5573e-05,             0.16296,            0.011035,            0.036401,            0.070101,           0.0033221,           0.0033221
                   1,             0.12382,            0.010853,            0.020663,             0.56696,            0.022288,            0.010855,           0.0026911,             0.15553,            0.012426,            0.029551,            0.039442,           0.0059966,           0.0059966
                   2,             0.11818,           0.0099502,           0.0065781,             0.56386,            0.039343,            0.016092,           0.0040577,              0.1492,            0.014869,            0.030948,           0.0081229,            0.008011,            0.008011
                   3,             0.10652,            0.010832,           0.0055952,             0.57092,            0.042931,            0.018685,           0.0037375,              0.1533,            0.014467,            0.028764,             0.00703,             0.00703,             0.00703
                   4,            0.098417,            0.010844,           0.0043256,             0.58422,            0.054733,            0.021402,           0.0051751,             0.14691,            0.016844,            0.028612,             0.00703,             0.00703,             0.00703
                   5,              0.0871,            0.011281,            0.004057,             0.58678,            0.054917,            0.025104,           0.0061634,             0.14623,            0.017364,            0.028785,             0.00604,             0.00604,             0.00604
                   6,            0.078287,              0.0113,           0.0037059,             0.58705,            0.058737,            0.028912,           0.0076791,             0.14713,             0.01691,            0.028649,             0.00505,             0.00505,             0.00505
                   7,            0.070534,            0.011096,           0.0036266,             0.59373,            0.060293,            0.029818,           0.0077358,             0.14605,            0.017404,            0.027928,             0.00406,             0.00406,             0.00406
                   8,            0.062451,            0.011266,           0.0033952,             0.58322,            0.060065,            0.028005,           0.0073447,             0.14692,            0.017083,            0.029464,             0.00307,             0.00307,             0.00307
                   9,            0.056183,            0.010972,           0.0028692,             0.59555,            0.060788,            0.030143,           0.0079663,             0.14652,            0.016965,            0.028436,             0.00208,             0.00208,             0.00208
